"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Feature:-Automation Exercise - API + UI","1","0","Story:-Validate products API against UI","0"
"0","","0","Feature:-Automation Exercise - API + UI","1","0","Story:-Validate brands API against UI","0"
"0","","0","Feature:-Automation Exercise - API + UI","1","0","Story:-Create account, login validation, and cleanup","0"
